"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Status","Mature","Language","URL"
"1","https://static-cdn.jtvnw.net/jtv_user_pictures/35b02a12-d516-499e-90f8-7899f136fa18-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","riotgames","6881557020","124005","639375","55493","7358758","1099431","140876443","Partner","false","English","https://www.twitch.tv/riotgames"
"2","https://static-cdn.jtvnw.net/jtv_user_pictures/f65f290a-d37e-4c33-bc74-de6049eddf55-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tfue","5561793255","123705","285644","44959","11537464","3213748","115358446","Partner","false","English","https://www.twitch.tv/tfue"
"3","https://static-cdn.jtvnw.net/jtv_user_pictures/b532ac95-4050-42cb-9d5d-9666a243654c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ow_esports","4829008335","83940","254493","57528","2407779","583849","107006778","Partner","false","English","https://www.twitch.tv/ow_esports"
"4","https://static-cdn.jtvnw.net/jtv_user_pictures/c1ecbcd5-b8b6-4e0c-9d5f-e01d610aa97d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","ESLCS","4046410380","518220","558083","7807","6807320","873906","113301339","Partner","false","English","https://www.twitch.tv/eslcs"
"5","https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","summit1g","3878960895","179265","75128","21637","6401532","618619","63336048","Partner","false","English","https://www.twitch.tv/summit1g"
"6","https://static-cdn.jtvnw.net/jtv_user_pictures/c754eebf-745b-4e0a-814a-10bcaecaabbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","shroud","3766627230","121605","201232","30973","11300789","2000233","110083050","Partner","false","English","https://www.twitch.tv/shroud"
"7","https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","xQc","3704779830","207855","81341","17823","12520525","960790","64429446","Partner","false","English","https://www.twitch.tv/xqc"
"8","https://static-cdn.jtvnw.net/jtv_user_pictures/asmongold-profile_image-f7ddcbd0332f5d28-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Asmongold","3416780520","93705","263720","36462","3430784","630693","65636627","Partner","false","English","https://www.twitch.tv/asmongold"
"9","https://static-cdn.jtvnw.net/jtv_user_pictures/90d40495-f467-4911-9035-72d8d10a49c5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Ninja","2877777705","68100","274505","42257","19258121","1953068","84007189","Partner","false","English","https://www.twitch.tv/ninja"
"10","https://static-cdn.jtvnw.net/jtv_user_pictures/ea0fe422-84bd-4aee-9d10-fd4b0b3a7054-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Gaules","2864206635","495165","139851","5783","4323475","472098","60942513","Partner","false","Portuguese","https://www.twitch.tv/gaules"
